,Title,videoPublishedAt,viewCount,likeCount,commentCount,favoriteCount,duration,categoryId
126,Cómo limpio los hornillos a fondo por primera vez  sin muchos recursos en medio de una mudanza,2025-07-14T14:17:52Z,11568,1416,241,0,PT14M52S,26
127,parece chiste pero es anécdota 😅,2025-07-13T08:15:03Z,41041,2081,140,0,PT29S,26
128,Voy al Kringwinkel sólo a mirar y ¡compro muebles de segunda mano para mi casa nueva por 12€! 😱,2025-07-11T18:40:01Z,23487,2353,154,0,PT17M5S,26
129,Limpieza de la segunda planta de mi casa nueva 👉 aspiradora Ultenic ✨️ colocando cosas del baño,2025-07-09T17:44:16Z,22939,2497,235,0,PT20M44S,26
130,Ordenando y limpiando mi cocina nueva 😃 me cuesta pensar la ubicación de las cosas,2025-07-07T12:31:03Z,21039,2520,419,0,PT17M26S,26
131,"Todo bien, todo correcto ✔️ 👍🏻",2025-07-04T19:14:22Z,16649,885,152,0,PT13S,26
132,Limpiando a fondo mi casa nueva: la habitación de matrimonio ❤️,2025-07-04T14:25:09Z,23141,2411,357,0,PT14M12S,26
133,Encontrar tesoros valiosos a precio de ganga en la Tienda de segunda mano,2025-06-15T16:42:19Z,21124,1445,218,0,PT35M39S,26
134,Aunque resisto tentaciones me gasto 128€ en el Action de Holanda 😲,2025-06-08T17:05:20Z,13708,1303,81,0,PT14M2S,26
135,Socorrooooo 👀 voy a la tienda de segunda mano y las tentaciones se apoderan de mi,2025-05-28T18:51:06Z,19281,1636,221,0,PT22M28S,26
136,Me compro ropa de segunda mano 💃,2025-05-14T14:53:33Z,14064,1408,189,0,PT17M43S,26
137,Organizacion del hogar los lunes: Hazte un menú semanal y olvídate,2025-05-12T12:32:54Z,5445,791,76,0,PT11M23S,26
138,Organización desorganizada 😅 demasiadas cosas por hacer ☕️ pero siempre hay tiempo de cafeciko,2025-05-09T11:54:19Z,8318,1113,123,0,PT14M28S,26
139,Porqué no puedo quedarme esta casa para trabajar 👀 Cafeciko con Cintika,2025-05-07T11:19:52Z,10888,1437,293,0,PT17M12S,26
140,Compra semanal de familia numerosa Lidl ✔️🍎🥫🍫💰,2025-05-05T12:10:36Z,10897,1233,116,0,PT15M6S,26
141,Cambio de armario porque llega el calor 📦Trasteando en el trastero,2025-05-02T15:18:08Z,8541,1076,90,0,PT14M12S,26
142,Os enseño mi kit de supervivencia y como usarlo correctamente 🤣🤣,2025-05-02T13:56:54Z,13349,433,21,0,PT11S,26
143,Te enseño mi mochila de emergencia (de hace 2 años) ➡️ Kit que nos recomienda la UE,2025-04-30T13:01:35Z,7160,861,128,0,PT26M48S,26
144,Plan eficiente de mudanza 📦 cafeciko con Cintika,2025-04-25T15:33:59Z,11063,1429,189,0,PT19M39S,26
145,Nos vamos a mudar y se acercan conflictos culturales con la funcionalidad de los espacios,2025-04-23T12:10:15Z,20767,2292,587,0,PT14M22S,26
146,Sobre la ubicación de la casa nueva 🏡,2025-04-21T11:12:00Z,17464,2001,340,0,PT14M11S,26
147,No puedo comprar cosas porque me mudo ✋🏻voy a la Tienda de segunda mano a por una tabla de planchar,2025-04-18T12:57:04Z,15823,1653,135,0,PT12M43S,26
148,La casa nueva 🏡,2025-04-16T11:59:37Z,18764,2040,480,0,PT17M33S,26
149,Voy a hacer la Compra semanal al  Lidl + tantas novedades de manualidades en el Action,2025-04-14T12:56:16Z,9069,1057,78,0,PT13M52S,26
150,Decoración para mi porche en la tienda de SEGUNDA MANO ✋️,2025-04-11T13:39:24Z,11735,1299,150,0,PT17M17S,26
151,Estoy desorganizada 🙈Cafeciko con Cintika en nueva ubicación ☕️,2025-04-09T11:55:12Z,9415,1272,179,0,PT11M55S,26
152,Limpiando a fondo la COCINA: RESET de primavera de la casa,2025-04-07T14:27:36Z,8915,1076,124,0,PT19M6S,26
153,ACTION: Zona de manualidades gigante 😃 cocina y decoración,2025-04-03T12:31:50Z,5852,806,43,0,PT11M17S,26
154,Una tienda nueva de SEGUNDA MANO: peluche gigante / cosas de cristal / PRECIOS altos!,2025-04-02T14:10:28Z,14695,1457,93,0,PT19M15S,26
155,Limpieza extrema de primavera 👀 como limpian en Marruecos a fondo 😱,2025-04-01T11:09:34Z,6842,934,116,0,PT13M22S,26
156,Vuelve el cafeciko con Cintika: menú semanal,2025-03-31T09:03:52Z,6151,967,116,0,PT12M37S,26
